RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
11,0.667,2.474736,0,0,3.09,1750,2.645,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.21, 2.05, 1.44, 1.11, 0.9, 0.76]",6,0.6,4691,NA,0,0,0,0,0,0,1000,9000,94,470,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
12,0.657,2.45403,1,0,3.09,1705,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.6,1742,Turbo,0,0,0,0,0,0,1000,6500,64,320,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
13,0.657,2.45403,1,0,4.18,1545,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.35, 1.57, 1.15, 0.94, 0.86]",6,0.6,1742,Turbo,0,0,0,0,0,0,1000,6500,46,230,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
14,0.657,2.45403,1,1,3.9,1705,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.35,2198,NA,0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
15,0.652,2.63407,1,0,3.83,1355,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1368,Turbo,0,0,0,0,0,0,1000,6500,41.2,206,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
16,0.652,2.63407,1,0,3.83,1365,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1368,Turbo,0,0,0,0,0,0,1000,6500,50,250,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
17,0.652,2.63407,1,0,3.83,1365,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1368,Turbo,0,0,0,0,0,0,1000,6500,46,230,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
18,0.652,2.63407,1,0,3.83,1395,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.35,1368,Turbo,0,0,0,0,0,0,1000,6500,68,340,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
19,0.643,2.408258,1,0,3.73,1395,2.596,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.91, 2.24, 1.52, 1.16, 0.92]",5,0.6,1747,NA,0,0,0,0,0,0,1000,6500,41.2,206,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
20,0.615,2.48712,1,0,4.18,1205,2.511,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,875,Turbo,0,0,0,0,0,0,1000,6500,29,145,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
21,0.615,2.48712,1,0,4.18,1205,2.511,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.8,875,Turbo,0,0,0,0,0,0,1000,6500,29,145,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
22,0.615,2.48712,1,0,4.18,1165,2.511,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1368,Turbo,0,0,0,0,0,0,1000,6500,26,130,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
23,0.657,2.41194,1,0,4.18,1705,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1742,Turbo,0,0,0,0,0,0,1000,6500,64,320,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
24,0.657,2.41194,1,0,3.09,1765,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.1,1742,Turbo,0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
25,0.657,2.41194,1,1,3.9,1765,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.6,3195,NA,0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
26,0.645,2.41194,1,1,3.75,1785,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.15, 2.37, 1.56, 1.16, 0.86, 0.69]",6,0.35,3195,NA,0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
27,0.619,2.30166,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,2997,NA,0,0,0,0,0,0,1000,7000,64,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
28,0.619,2.30166,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,NA,0,0,0,0,0,0,1000,7000,66,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
29,0.619,2.30166,0,0,2.93,1490,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,NA,0,0,0,0,0,0,1000,7000,82,410,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
30,0.619,2.30166,0,0,2.79,1500,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,3152,NA,0,0,0,0,0,0,1000,7000,94,470,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
31,0.619,2.30166,0,0,2.93,1450,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,4619,NA,0,0,0,0,0,0,1000,6500,64,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
32,0.619,2.27088,0,0,2.93,1450,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,NA,0,0,0,0,0,0,1000,7000,66,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
33,0.619,2.27088,0,0,2.79,1610,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,NA,0,0,0,0,0,0,1000,7000,94,470,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
34,0.619,2.27088,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,4619,NA,0,0,0,0,0,0,1000,6500,64,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
35,0.619,2.331354,0,0,3.64,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,1.2,2997,NA,0,0,0,0,0,0,1000,7000,64,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
36,0.619,2.331354,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,NA,0,0,0,0,0,0,1000,7000,66,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
37,0.619,2.331354,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.8,2997,NA,0,0,0,0,0,0,1000,7000,58.6,293,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
38,0.619,2.331354,0,0,2.93,1490,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,3152,NA,0,0,0,0,0,0,1000,7000,82,410,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
39,0.619,2.331354,0,0,2.93,1380,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,3982,NA,0,0,0,0,0,0,1000,6500,64,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
40,0.619,2.327958,0,0,2.93,1380,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,NA,0,0,0,0,0,0,1000,7000,66,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
41,0.644,2.401819,0,0,3.15,1450,2.725,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,3300,NA,0,0,0,0,0,0,1000,7000,67,335,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
42,0.644,2.401819,0,0,3.64,1480,2.725,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.6,3300,NA,0,0,0,0,0,0,1000,7000,67,335,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
